char,width,height,fontsize
A,4,4,5
A,4,5,6
A,5,5,7
A,5,6,8
A,6,7,9
A,7,7,10
A,7,8,11
A,8,9,12
A,9,10,13
A,9,10,14
A,10,11,15
A,11,12,16
A,11,12,17
A,12,13,18
A,13,14,19
A,13,14,20
A,13,15,21
A,14,16,22
A,15,17,23
A,15,17,24
A,16,18,25
A,16,19,26
A,17,19,27
A,18,20,28
A,18,21,29
A,19,22,30
A,20,22,31
A,20,23,32
A,21,24,33
A,21,24,34
A,22,25,35
A,23,26,36
A,23,26,37
A,24,27,38
A,25,28,39
A,25,29,40
A,26,29,41
A,26,30,42
A,27,31,43
A,28,31,44
A,28,32,45
A,29,33,46
A,29,33,47
A,30,34,48
A,31,35,49
A,31,36,50
A,32,36,51
A,33,37,52
A,33,38,53
A,34,38,54
A,34,39,55
A,35,40,56
A,36,41,57
A,36,41,58
A,37,42,59
A,37,43,60
A,38,43,61
A,39,44,62
A,39,45,63
A,40,45,64
A,41,46,65
A,41,47,66
A,42,48,67
A,42,48,68
A,43,49,69
A,44,50,70
A,44,50,71
A,44,51,72
A,45,52,73
A,45,53,74
A,46,53,75
A,46,54,76
A,47,55,77
A,48,55,78
A,48,56,79
A,49,57,80
A,49,57,81
A,50,58,82
A,51,59,83
A,51,60,84
A,52,60,85
A,53,61,86
A,53,62,87
A,54,62,88
A,54,63,89
A,55,64,90
A,56,64,91
A,56,65,92
A,57,66,93
A,58,67,94
A,58,67,95
A,59,68,96
A,59,69,97
A,60,69,98
A,61,70,99
B,3,4,5
B,4,5,6
B,5,5,7
B,5,6,8
B,6,7,9
B,5,7,10
B,6,8,11
B,7,9,12
B,7,10,13
B,8,10,14
B,8,11,15
B,9,12,16
B,10,12,17
B,10,13,18
B,11,14,19
B,11,14,20
B,11,15,21
B,12,16,22
B,13,17,23
B,13,17,24
B,14,18,25
B,14,19,26
B,15,19,27
B,14,20,28
B,15,21,29
B,16,22,30
B,16,22,31
B,17,23,32
B,17,24,33
B,18,24,34
B,18,25,35
B,19,26,36
B,20,26,37
B,20,27,38
B,21,28,39
B,21,29,40
B,22,29,41
B,22,30,42
B,22,31,43
B,23,31,44
B,23,32,45
B,24,33,46
B,24,33,47
B,25,34,48
B,25,35,49
B,26,36,50
B,27,36,51
B,27,37,52
B,28,38,53
B,28,38,54
B,29,39,55
B,29,40,56
B,29,41,57
B,30,41,58
B,30,42,59
B,31,43,60
B,31,43,61
B,32,44,62
B,32,45,63
B,33,45,64
B,34,46,65
B,34,47,66
B,35,48,67
B,35,48,68
B,36,49,69
B,37,50,70
B,37,50,71
B,37,51,72
B,37,52,73
B,38,53,74
B,38,53,75
B,39,54,76
B,40,55,77
B,40,55,78
B,41,56,79
B,41,57,80
B,42,57,81
B,42,58,82
B,43,59,83
B,44,60,84
B,44,60,85
B,44,61,86
B,44,62,87
B,45,62,88
B,45,63,89
B,46,64,90
B,47,64,91
B,47,65,92
B,48,66,93
B,48,67,94
B,49,67,95
B,49,68,96
B,50,69,97
B,51,69,98
B,51,70,99
C,4,4,5
C,4,5,6
C,5,5,7
C,6,7,8
C,6,8,9
C,7,9,10
C,8,9,11
C,8,10,12
C,9,11,13
C,9,11,14
C,9,12,15
C,10,13,16
C,11,14,17
C,11,14,18
C,12,15,19
C,13,16,20
C,14,16,21
C,14,17,22
C,14,18,23
C,15,19,24
C,16,19,25
C,16,20,26
C,17,21,27
C,18,21,28
C,18,22,29
C,19,23,30
C,20,24,31
C,20,24,32
C,21,25,33
C,22,26,34
C,22,26,35
C,23,27,36
C,23,28,37
C,24,29,38
C,25,29,39
C,25,30,40
C,26,31,41
C,27,31,42
C,27,32,43
C,28,33,44
C,29,34,45
C,28,34,46
C,29,35,47
C,30,36,48
C,30,36,49
C,31,37,50
C,32,38,51
C,32,39,52
C,33,39,53
C,34,40,54
C,34,41,55
C,35,41,56
C,35,42,57
C,36,43,58
C,37,44,59
C,37,44,60
C,38,45,61
C,39,46,62
C,39,47,63
C,40,47,64
C,41,48,65
C,41,49,66
C,42,49,67
C,43,50,68
C,43,51,69
C,44,52,70
C,44,52,71
C,44,53,72
C,45,54,73
C,46,54,74
C,46,55,75
C,47,56,76
C,47,57,77
C,48,57,78
C,49,58,79
C,49,59,80
C,50,59,81
C,51,60,82
C,51,61,83
C,52,62,84
C,53,62,85
C,53,63,86
C,54,64,87
C,55,64,88
C,55,65,89
C,56,66,90
C,57,67,91
C,57,67,92
C,58,68,93
C,59,69,94
C,58,69,95
C,59,71,96
C,60,72,97
C,60,73,98
C,61,73,99
D,4,4,5
D,4,5,6
D,5,5,7
D,6,6,8
D,6,7,9
D,6,7,10
D,7,8,11
D,7,9,12
D,8,10,13
D,9,10,14
D,9,11,15
D,10,12,16
D,11,12,17
D,11,13,18
D,12,14,19
D,12,14,20
D,13,15,21
D,13,16,22
D,14,17,23
D,15,17,24
D,15,18,25
D,16,19,26
D,17,19,27
D,16,20,28
D,17,21,29
D,18,22,30
D,18,22,31
D,19,23,32
D,19,24,33
D,20,24,34
D,21,25,35
D,21,26,36
D,22,26,37
D,23,27,38
D,23,28,39
D,24,29,40
D,25,29,41
D,25,30,42
D,25,31,43
D,25,31,44
D,26,32,45
D,27,33,46
D,27,33,47
D,28,34,48
D,29,35,49
D,29,36,50
D,30,36,51
D,31,37,52
D,31,38,53
D,32,38,54
D,32,39,55
D,33,40,56
D,33,41,57
D,33,41,58
D,34,42,59
D,35,43,60
D,35,43,61
D,36,44,62
D,37,45,63
D,37,45,64
D,38,46,65
D,38,47,66
D,39,48,67
D,40,48,68
D,40,49,69
D,41,50,70
D,42,50,71
D,41,51,72
D,42,52,73
D,43,53,74
D,43,53,75
D,44,54,76
D,44,55,77
D,45,55,78
D,46,56,79
D,46,57,80
D,47,57,81
D,48,58,82
D,48,59,83
D,49,60,84
D,50,60,85
D,49,61,86
D,50,62,87
D,50,62,88
D,51,63,89
D,52,64,90
D,52,64,91
D,53,65,92
D,54,66,93
D,54,67,94
D,55,67,95
D,56,68,96
D,56,69,97
D,57,69,98
D,58,70,99
E,3,4,5
E,4,5,6
E,4,5,7
E,5,6,8
E,5,7,9
E,5,7,10
E,5,8,11
E,6,9,12
E,6,10,13
E,7,10,14
E,7,11,15
E,8,12,16
E,8,12,17
E,9,13,18
E,9,14,19
E,9,14,20
E,10,15,21
E,10,16,22
E,11,17,23
E,11,17,24
E,12,18,25
E,13,19,26
E,13,19,27
E,13,20,28
E,13,21,29
E,14,22,30
E,14,22,31
E,15,23,32
E,15,24,33
E,16,24,34
E,16,25,35
E,17,26,36
E,17,26,37
E,18,27,38
E,18,28,39
E,19,29,40
E,19,29,41
E,20,30,42
E,19,31,43
E,20,31,44
E,20,32,45
E,21,33,46
E,21,33,47
E,22,34,48
E,22,35,49
E,23,36,50
E,23,36,51
E,24,37,52
E,24,38,53
E,25,38,54
E,25,39,55
E,26,40,56
E,25,41,57
E,26,41,58
E,26,42,59
E,27,43,60
E,27,43,61
E,28,44,62
E,28,45,63
E,29,45,64
E,29,46,65
E,30,47,66
E,30,48,67
E,31,48,68
E,31,49,69
E,32,50,70
E,32,50,71
E,32,51,72
E,32,52,73
E,33,53,74
E,33,53,75
E,34,54,76
E,34,55,77
E,35,55,78
E,35,56,79
E,36,57,80
E,36,57,81
E,37,58,82
E,37,59,83
E,38,60,84
E,38,60,85
E,38,61,86
E,38,62,87
E,39,62,88
E,39,63,89
E,40,64,90
E,40,64,91
E,41,65,92
E,41,66,93
E,42,67,94
E,42,67,95
E,43,68,96
E,43,69,97
E,44,69,98
E,44,70,99
F,3,4,5
F,3,5,6
F,4,5,7
F,5,6,8
F,5,7,9
F,5,7,10
F,5,8,11
F,6,9,12
F,6,10,13
F,7,10,14
F,7,11,15
F,8,12,16
F,8,12,17
F,9,13,18
F,9,14,19
F,9,14,20
F,10,15,21
F,10,16,22
F,11,17,23
F,11,17,24
F,12,18,25
F,12,19,26
F,13,19,27
F,12,20,28
F,13,21,29
F,13,22,30
F,14,22,31
F,14,23,32
F,15,24,33
F,15,24,34
F,16,25,35
F,16,26,36
F,17,26,37
F,17,27,38
F,18,28,39
F,18,29,40
F,19,29,41
F,19,30,42
F,19,31,43
F,19,31,44
F,20,32,45
F,20,33,46
F,21,33,47
F,21,34,48
F,22,35,49
F,22,36,50
F,23,36,51
F,23,37,52
F,24,38,53
F,24,38,54
F,25,39,55
F,25,40,56
F,25,41,57
F,25,41,58
F,26,42,59
F,26,43,60
F,27,43,61
F,27,44,62
F,28,45,63
F,28,45,64
F,29,46,65
F,29,47,66
F,30,48,67
F,30,48,68
F,31,49,69
F,31,50,70
F,32,50,71
F,31,51,72
F,32,52,73
F,32,53,74
F,33,53,75
F,33,54,76
F,34,55,77
F,34,55,78
F,35,56,79
F,35,57,80
F,36,57,81
F,36,58,82
F,37,59,83
F,37,60,84
F,38,60,85
F,37,61,86
F,38,62,87
F,38,62,88
F,39,63,89
F,39,64,90
F,40,64,91
F,40,65,92
F,41,66,93
F,41,67,94
F,42,67,95
F,42,68,96
F,42,69,97
F,43,69,98
F,43,70,99
G,4,4,5
G,4,5,6
G,5,5,7
G,6,7,8
G,7,8,9
G,7,9,10
G,8,9,11
G,9,10,12
G,9,11,13
G,9,11,14
G,10,12,15
G,10,13,16
G,11,14,17
G,12,14,18
G,12,15,19
G,14,16,20
G,14,16,21
G,14,17,22
G,15,18,23
G,15,19,24
G,16,19,25
G,17,20,26
G,17,21,27
G,18,21,28
G,19,22,29
G,19,23,30
G,20,24,31
G,21,24,32
G,21,25,33
G,22,26,34
G,23,26,35
G,23,27,36
G,24,28,37
G,25,29,38
G,25,29,39
G,26,30,40
G,27,31,41
G,27,31,42
G,28,32,43
G,29,33,44
G,29,34,45
G,29,34,46
G,30,35,47
G,30,36,48
G,31,36,49
G,32,37,50
G,32,38,51
G,33,39,52
G,33,39,53
G,34,40,54
G,35,41,55
G,35,41,56
G,36,42,57
G,37,43,58
G,37,44,59
G,38,44,60
G,39,45,61
G,39,46,62
G,40,47,63
G,41,47,64
G,41,48,65
G,42,49,66
G,43,49,67
G,43,50,68
G,44,51,69
G,45,52,70
G,44,52,71
G,45,53,72
G,46,54,73
G,46,54,74
G,47,55,75
G,48,56,76
G,48,57,77
G,49,57,78
G,50,58,79
G,50,59,80
G,51,59,81
G,52,60,82
G,52,61,83
G,53,62,84
G,54,62,85
G,54,63,86
G,55,64,87
G,56,64,88
G,56,65,89
G,57,66,90
G,58,67,91
G,58,67,92
G,59,68,93
G,60,69,94
G,59,69,95
G,60,71,96
G,61,72,97
G,61,73,98
G,62,73,99
H,4,4,5
H,4,5,6
H,5,5,7
H,6,6,8
H,6,7,9
H,6,7,10
H,7,8,11
H,7,9,12
H,8,10,13
H,9,10,14
H,9,11,15
H,10,12,16
H,10,12,17
H,11,13,18
H,12,14,19
H,12,14,20
H,13,15,21
H,13,16,22
H,14,17,23
H,15,17,24
H,15,18,25
H,16,19,26
H,16,19,27
H,16,20,28
H,17,21,29
H,17,22,30
H,18,22,31
H,19,23,32
H,19,24,33
H,20,24,34
H,20,25,35
H,21,26,36
H,22,26,37
H,22,27,38
H,23,28,39
H,24,29,40
H,24,29,41
H,25,30,42
H,25,31,43
H,25,31,44
H,26,32,45
H,26,33,46
H,27,33,47
H,28,34,48
H,28,35,49
H,29,36,50
H,30,36,51
H,30,37,52
H,31,38,53
H,31,38,54
H,32,39,55
H,33,40,56
H,32,41,57
H,33,41,58
H,34,42,59
H,34,43,60
H,35,43,61
H,35,44,62
H,36,45,63
H,37,45,64
H,37,46,65
H,38,47,66
H,39,48,67
H,39,48,68
H,40,49,69
H,41,50,70
H,41,50,71
H,41,51,72
H,41,52,73
H,42,53,74
H,43,53,75
H,43,54,76
H,44,55,77
H,45,55,78
H,45,56,79
H,46,57,80
H,46,57,81
H,47,58,82
H,48,59,83
H,48,60,84
H,49,60,85
H,49,61,86
H,49,62,87
H,50,62,88
H,51,63,89
H,51,64,90
H,52,64,91
H,52,65,92
H,53,66,93
H,54,67,94
H,54,67,95
H,55,68,96
H,56,69,97
H,56,69,98
H,57,70,99
I,1,4,5
I,1,5,6
I,2,5,7
I,2,6,8
I,2,7,9
I,1,7,10
I,1,8,11
I,2,9,12
I,2,10,13
I,2,10,14
I,2,11,15
I,2,12,16
I,2,12,17
I,3,13,18
I,3,14,19
I,3,14,20
I,3,15,21
I,3,16,22
I,3,17,23
I,3,17,24
I,3,18,25
I,3,19,26
I,4,19,27
I,3,20,28
I,3,21,29
I,3,22,30
I,3,22,31
I,3,23,32
I,4,24,33
I,4,24,34
I,4,25,35
I,4,26,36
I,4,26,37
I,4,27,38
I,4,28,39
I,5,29,40
I,5,29,41
I,5,30,42
I,4,31,43
I,4,31,44
I,4,32,45
I,5,33,46
I,5,33,47
I,5,34,48
I,5,35,49
I,5,36,50
I,5,36,51
I,6,37,52
I,6,38,53
I,6,38,54
I,6,39,55
I,6,40,56
I,5,41,57
I,5,41,58
I,6,42,59
I,6,43,60
I,6,43,61
I,6,44,62
I,6,45,63
I,6,45,64
I,7,46,65
I,7,47,66
I,7,48,67
I,7,48,68
I,7,49,69
I,7,50,70
I,7,50,71
I,7,51,72
I,7,52,73
I,7,53,74
I,7,53,75
I,7,54,76
I,7,55,77
I,8,55,78
I,8,56,79
I,8,57,80
I,8,57,81
I,8,58,82
I,8,59,83
I,9,60,84
I,9,60,85
I,8,61,86
I,8,62,87
I,8,62,88
I,8,63,89
I,8,64,90
I,9,64,91
I,9,65,92
I,9,66,93
I,9,67,94
I,9,67,95
I,9,68,96
I,10,69,97
I,10,69,98
I,10,70,99
J,3,4,5
J,3,5,6
J,4,5,7
J,4,7,8
J,4,8,9
J,5,8,10
J,5,9,11
J,6,10,12
J,6,11,13
J,7,11,14
J,7,12,15
J,8,13,16
J,8,13,17
J,8,14,18
J,9,15,19
J,9,15,20
J,9,16,21
J,10,17,22
J,10,18,23
J,11,18,24
J,11,19,25
J,11,20,26
J,12,20,27
J,12,21,28
J,13,22,29
J,13,23,30
J,14,23,31
J,14,24,32
J,14,25,33
J,15,25,34
J,15,26,35
J,16,27,36
J,16,27,37
J,17,28,38
J,17,29,39
J,17,30,40
J,18,30,41
J,18,31,42
J,18,32,43
J,18,32,44
J,19,33,45
J,19,34,46
J,19,34,47
J,20,35,48
J,20,36,49
J,21,37,50
J,21,37,51
J,22,38,52
J,22,39,53
J,22,39,54
J,23,40,55
J,23,41,56
J,24,42,57
J,24,42,58
J,25,43,59
J,25,44,60
J,25,44,61
J,26,45,62
J,26,46,63
J,27,46,64
J,27,47,65
J,28,48,66
J,28,49,67
J,28,49,68
J,29,50,69
J,29,51,70
J,30,51,71
J,30,52,72
J,31,53,73
J,31,54,74
J,31,54,75
J,32,55,76
J,32,56,77
J,33,56,78
J,33,57,79
J,34,58,80
J,34,58,81
J,34,59,82
J,35,60,83
J,35,61,84
J,36,61,85
J,36,62,86
J,37,63,87
J,37,63,88
J,37,64,89
J,38,65,90
J,38,65,91
J,38,66,92
J,38,67,93
J,38,68,94
J,39,68,95
J,39,70,96
J,40,71,97
J,40,71,98
J,41,72,99
K,4,4,5
K,4,5,6
K,5,5,7
K,5,6,8
K,6,7,9
K,6,7,10
K,6,8,11
K,7,9,12
K,8,10,13
K,8,10,14
K,9,11,15
K,9,12,16
K,10,12,17
K,11,13,18
K,11,14,19
K,12,15,20
K,12,15,21
K,13,16,22
K,13,17,23
K,14,17,24
K,15,18,25
K,15,19,26
K,16,19,27
K,15,20,28
K,16,21,29
K,17,22,30
K,17,22,31
K,18,23,32
K,18,24,33
K,19,24,34
K,20,25,35
K,20,26,36
K,21,26,37
K,22,27,38
K,22,28,39
K,23,29,40
K,23,29,41
K,24,30,42
K,24,31,43
K,24,31,44
K,25,32,45
K,25,33,46
K,26,34,47
K,27,34,48
K,27,35,49
K,28,36,50
K,28,36,51
K,29,37,52
K,30,38,53
K,30,38,54
K,31,39,55
K,31,40,56
K,31,41,57
K,32,41,58
K,32,42,59
K,33,43,60
K,34,43,61
K,34,44,62
K,35,45,63
K,35,45,64
K,36,46,65
K,37,47,66
K,37,48,67
K,38,48,68
K,38,49,69
K,39,50,70
K,40,51,71
K,39,51,72
K,40,52,73
K,40,53,74
K,41,53,75
K,42,54,76
K,42,55,77
K,43,55,78
K,43,56,79
K,44,57,80
K,45,58,81
K,45,58,82
K,46,59,83
K,47,60,84
K,47,60,85
K,47,61,86
K,47,62,87
K,48,62,88
K,49,63,89
K,49,64,90
K,50,65,91
K,50,65,92
K,51,66,93
K,52,67,94
K,52,67,95
K,53,68,96
K,53,69,97
K,54,70,98
K,55,70,99
L,3,4,5
L,3,5,6
L,4,5,7
L,5,6,8
L,5,7,9
L,5,7,10
L,5,8,11
L,6,9,12
L,6,10,13
L,7,10,14
L,7,11,15
L,8,12,16
L,8,12,17
L,9,13,18
L,9,14,19
L,9,14,20
L,10,15,21
L,10,16,22
L,11,17,23
L,11,17,24
L,12,18,25
L,12,19,26
L,13,19,27
L,12,20,28
L,13,21,29
L,13,22,30
L,14,22,31
L,14,23,32
L,15,24,33
L,15,24,34
L,16,25,35
L,16,26,36
L,17,26,37
L,17,27,38
L,18,28,39
L,18,29,40
L,19,29,41
L,19,30,42
L,19,31,43
L,19,31,44
L,20,32,45
L,20,33,46
L,21,33,47
L,21,34,48
L,22,35,49
L,22,36,50
L,23,36,51
L,23,37,52
L,24,38,53
L,24,38,54
L,25,39,55
L,25,40,56
L,25,41,57
L,25,41,58
L,26,42,59
L,26,43,60
L,27,43,61
L,27,44,62
L,28,45,63
L,28,45,64
L,29,46,65
L,29,47,66
L,30,48,67
L,30,48,68
L,31,49,69
L,31,50,70
L,32,50,71
L,31,51,72
L,32,52,73
L,32,53,74
L,33,53,75
L,33,54,76
L,34,55,77
L,34,55,78
L,35,56,79
L,35,57,80
L,36,57,81
L,36,58,82
L,37,59,83
L,37,60,84
L,38,60,85
L,37,61,86
L,38,62,87
L,38,62,88
L,39,63,89
L,39,64,90
L,40,64,91
L,40,65,92
L,41,66,93
L,41,67,94
L,42,67,95
L,42,68,96
L,42,69,97
L,43,69,98
L,43,70,99
M,4,4,5
M,5,5,6
M,6,5,7
M,7,6,8
M,7,7,9
M,7,7,10
M,8,8,11
M,9,9,12
M,10,10,13
M,10,10,14
M,11,11,15
M,12,12,16
M,13,12,17
M,13,13,18
M,14,14,19
M,15,14,20
M,15,15,21
M,16,16,22
M,17,17,23
M,18,17,24
M,18,18,25
M,19,19,26
M,20,19,27
M,20,20,28
M,20,21,29
M,21,22,30
M,22,22,31
M,23,23,32
M,24,24,33
M,24,24,34
M,25,25,35
M,26,26,36
M,27,26,37
M,27,27,38
M,28,28,39
M,29,29,40
M,30,29,41
M,30,30,42
M,30,31,43
M,31,31,44
M,32,32,45
M,32,33,46
M,33,33,47
M,34,34,48
M,35,35,49
M,36,36,50
M,36,36,51
M,37,37,52
M,38,38,53
M,39,38,54
M,39,39,55
M,40,40,56
M,40,41,57
M,41,41,58
M,41,42,59
M,42,43,60
M,43,43,61
M,44,44,62
M,44,45,63
M,45,45,64
M,46,46,65
M,47,47,66
M,47,48,67
M,48,48,68
M,49,49,69
M,50,50,70
M,51,50,71
M,50,51,72
M,51,52,73
M,52,53,74
M,53,53,75
M,53,54,76
M,54,55,77
M,55,55,78
M,56,56,79
M,56,57,80
M,57,57,81
M,58,58,82
M,59,59,83
M,59,60,84
M,60,60,85
M,60,61,86
M,61,62,87
M,61,62,88
M,62,63,89
M,63,64,90
M,64,64,91
M,65,65,92
M,65,66,93
M,66,67,94
M,67,67,95
M,68,68,96
M,68,69,97
M,69,69,98
M,70,70,99
N,4,4,5
N,4,5,6
N,5,5,7
N,6,6,8
N,6,7,9
N,6,7,10
N,7,8,11
N,7,9,12
N,8,10,13
N,9,10,14
N,9,11,15
N,10,12,16
N,10,12,17
N,11,13,18
N,12,14,19
N,12,14,20
N,13,15,21
N,13,16,22
N,14,17,23
N,15,17,24
N,15,18,25
N,16,19,26
N,16,19,27
N,16,20,28
N,17,21,29
N,17,22,30
N,18,22,31
N,19,23,32
N,19,24,33
N,20,24,34
N,20,25,35
N,21,26,36
N,22,26,37
N,22,27,38
N,23,28,39
N,24,29,40
N,24,29,41
N,25,30,42
N,25,31,43
N,25,31,44
N,26,32,45
N,26,33,46
N,27,33,47
N,28,34,48
N,28,35,49
N,29,36,50
N,30,36,51
N,30,37,52
N,31,38,53
N,31,38,54
N,32,39,55
N,33,40,56
N,32,41,57
N,33,41,58
N,34,42,59
N,34,43,60
N,35,43,61
N,35,44,62
N,36,45,63
N,37,45,64
N,37,46,65
N,38,47,66
N,39,48,67
N,39,48,68
N,40,49,69
N,41,50,70
N,41,50,71
N,41,51,72
N,41,52,73
N,42,53,74
N,43,53,75
N,43,54,76
N,44,55,77
N,45,55,78
N,45,56,79
N,46,57,80
N,46,57,81
N,47,58,82
N,48,59,83
N,48,60,84
N,49,60,85
N,49,61,86
N,49,62,87
N,50,62,88
N,51,63,89
N,51,64,90
N,52,64,91
N,52,65,92
N,53,66,93
N,54,67,94
N,54,67,95
N,55,68,96
N,56,69,97
N,56,69,98
N,57,70,99
O,4,4,5
O,5,5,6
O,5,5,7
O,6,7,8
O,7,8,9
O,7,9,10
O,8,9,11
O,9,10,12
O,10,11,13
O,9,11,14
O,10,12,15
O,11,13,16
O,11,14,17
O,12,14,18
O,13,15,19
O,14,16,20
O,15,16,21
O,15,17,22
O,15,18,23
O,16,19,24
O,17,19,25
O,17,20,26
O,18,21,27
O,19,21,28
O,19,22,29
O,20,23,30
O,21,24,31
O,21,24,32
O,22,25,33
O,23,26,34
O,24,26,35
O,24,27,36
O,25,28,37
O,26,29,38
O,26,29,39
O,27,30,40
O,28,31,41
O,28,31,42
O,29,32,43
O,30,33,44
O,30,34,45
O,30,34,46
O,31,35,47
O,32,36,48
O,32,36,49
O,33,37,50
O,34,38,51
O,34,39,52
O,35,39,53
O,36,40,54
O,36,41,55
O,37,41,56
O,38,42,57
O,38,43,58
O,39,44,59
O,40,44,60
O,40,45,61
O,41,46,62
O,42,47,63
O,43,47,64
O,43,48,65
O,44,49,66
O,45,49,67
O,45,50,68
O,46,51,69
O,47,52,70
O,46,52,71
O,47,53,72
O,48,54,73
O,48,54,74
O,49,55,75
O,50,56,76
O,51,57,77
O,51,57,78
O,52,58,79
O,53,59,80
O,53,59,81
O,54,60,82
O,55,61,83
O,55,62,84
O,56,62,85
O,57,63,86
O,57,64,87
O,58,64,88
O,59,65,89
O,60,66,90
O,60,67,91
O,61,67,92
O,62,68,93
O,62,69,94
O,62,69,95
O,63,71,96
O,63,72,97
O,64,73,98
O,65,73,99
P,3,4,5
P,4,5,6
P,4,5,7
P,5,6,8
P,6,7,9
P,5,7,10
P,6,8,11
P,6,9,12
P,7,10,13
P,8,10,14
P,8,11,15
P,9,12,16
P,9,12,17
P,10,13,18
P,10,14,19
P,10,14,20
P,11,15,21
P,11,16,22
P,12,17,23
P,12,17,24
P,13,18,25
P,14,19,26
P,14,19,27
P,14,20,28
P,14,21,29
P,15,22,30
P,15,22,31
P,16,23,32
P,16,24,33
P,17,24,34
P,17,25,35
P,18,26,36
P,19,26,37
P,19,27,38
P,20,28,39
P,20,29,40
P,21,29,41
P,21,30,42
P,21,31,43
P,21,31,44
P,22,32,45
P,22,33,46
P,23,33,47
P,24,34,48
